r,f,g,f_s
0.0,1.0,1.0,0.0
0.04952476238119059,0.9907326,0.9829081,0.0012482872
0.09904952476238119,0.9625952,0.9326774,0.004921155
0.1485742871435718,0.91719365,0.8532894,0.010808558
0.19809904952476237,0.8570531,0.75085264,0.018582368
0.24762381190595295,0.7853835,0.6328779,0.027827354
0.2971485742871436,0.70579326,0.5074333,0.0380787
0.34667333666833416,0.6219856,0.38230744,0.048861306
0.39619809904952474,0.5374742,0.26429468,0.05972637
0.4457228614307153,0.45534566,0.15868838,0.070281275
0.4952476238119059,0.37809148,0.06902176,0.08021043
0.5447723861930965,0.3075186,-0.0029471817,0.08928598
0.5942971485742872,0.24473728,-0.057047423,0.0973686
0.6438219109554777,0.19021615,-0.09436771,0.104400106
0.6933466733366683,0.1438872,-0.116863176,0.11038979
0.7428714357178589,0.105279826,-0.12696184,0.11539736
0.7923961980990495,0.07366383,-0.1272229,0.11951476
0.8419209604802401,0.048182916,-0.1200771,0.12284949
0.8914457228614306,0.027965538,-0.107660644,0.1255106
0.9409704852426213,0.012204706,-0.091736875,0.12759908
0.9904952476238118,0.00020431403,-0.07368982,0.12920222
1.0400200100050025,-0.008606234,-0.054567646,0.13039236
1.089544772386193,-0.014683272,-0.035153657,0.13122849
1.1390695347673836,-0.018398149,-0.016044978,0.1317598
1.1885942971485743,-0.020075653,0.0022765833,0.13202994
1.2381190595297649,-0.020033086,0.019392129,0.13208129
1.2876438219109554,-0.018612802,0.034916915,0.13195841
1.337168584292146,-0.016202848,0.048496198,0.13171062
1.3866933466733367,-0.013243126,0.059822496,0.13139312
1.4362181090545272,-0.01021658,0.068667576,0.13106641
1.4857428714357177,-0.0076276013,0.074920096,0.13079417
1.5352676338169085,-0.0059711263,0.07861872,0.13063923
1.584792396198099,-0.0056975777,0.07997018,0.13065909
1.6343171585792895,-0.007178624,0.07934436,0.13090117
1.6838419209604802,-0.010678328,0.07724146,0.13139886
1.7333666833416708,-0.016333347,0.074232996,0.13216889
1.7828914457228613,-0.024143865,0.07088316,0.13321038
1.832416208104052,-0.033975676,0.06766381,0.13450535
1.8819409704852426,-0.045572158,0.06487897,0.13602068
1.931465732866433,-0.058574107,0.06261481,0.13771096
1.9809904952476236,-0.07254478,0.060727835,0.13952196
2.030515257628814,-0.086997986,0.0588759,0.14139393
2.080040020010005,-0.101427004,0.056589067,0.14326479
2.1295647823911956,-0.11533298,0.053367816,0.1450729
2.179089544772386,-0.12825184,0.048790544,0.14676006
2.2286143071535767,-0.13977835,0.042609777,0.14827406
2.278139069534767,-0.14958706,0.034818444,0.14957161
2.3276638319159577,-0.15744822,0.025673598,0.15062115
2.3771885942971487,-0.16323814,0.015673095,0.15140468
2.426713356678339,-0.16694236,0.0054897578,0.15191881
2.4762381190595297,-0.16865124,-0.0041246233,0.15217443
2.5257628814407203,-0.16854739,-0.012447693,0.15219484
2.5752876438219108,-0.16688627,-0.018888356,0.152013
2.6248124062031013,-0.16397063,-0.023064498,0.15166794
2.674337168584292,-0.16012162,-0.024844443,0.151201
2.723861930965483,-0.15564874,-0.024347378,0.15065196
2.7733866933466733,-0.15082176,-0.021905104,0.15005581
2.822911455727864,-0.14584708,-0.017995285,0.14943995
2.8724362181090544,-0.14085117,-0.013159912,0.1488219
2.921960980490245,-0.1358727,-0.007925062,0.14820829
2.9714857428714354,-0.13086435,-0.0027356758,0.1475943
3.0210105052526264,-0.12570474,0.002085814,0.14696474
3.070535267633817,-0.120219424,0.0063536568,0.14629649
3.1200600300150074,-0.11420935,0.010009213,0.14556217
3.169584792396198,-0.10748394,0.013095291,0.14473484
3.2191095547773885,-0.09989582,0.015723975,0.14379315
3.268634317158579,-0.09137275,0.018046351,0.14272575
3.3181590795397695,-0.08194362,0.020229444,0.14153497
3.3676838419209605,-0.0717542,0.022441003,0.14023896
3.417208604302151,-0.06107088,0.02483939,0.13887218
3.4667333666833415,-0.050270572,0.027563503,0.1374843
3.516258129064532,-0.03981749,0.03071876,0.13613752
3.5657828914457226,-0.030228613,0.034357354,0.1349021
3.615307653826913,-0.022031546,0.038455125,0.1338506
3.664832416208104,-0.015719166,0.04289107,0.13305129
3.7143571785892946,-0.011706076,0.047437306,0.1325611
3.763881940970485,-0.0102916015,0.051766593,0.13241996
3.8134067033516756,-0.011633067,0.05548141,0.13264683
3.862931465732866,-0.015732035,0.058163624,0.13323838
3.9124562281140567,-0.02243416,0.059437886,0.13417001
3.961980990495247,-0.031442203,0.059037987,0.13539886
4.011505752876438,-0.0423399,0.05686279,0.13686778
4.061030515257628,-0.054623757,0.05300992,0.13850974
4.110555277638819,-0.06773907,0.047779143,0.14025226
4.16008004002001,-0.08111652,0.0416435,0.14202178
4.2096048024012,-0.09420598,0.03519243,0.14374761
4.259129564782391,-0.10650511,0.029056815,0.1453658
4.308654327163581,-0.11758039,0.02382856,0.14682172
4.358179089544772,-0.12708034,0.01998778,0.14807162
4.407703851925962,-0.13474023,0.017847978,0.14908302
4.457228614307153,-0.14037937,0.01752536,0.149834
4.506753376688344,-0.1438922,0.018933922,0.15031195
4.556278139069534,-0.1452352,0.021802811,0.15051173
4.605802901450725,-0.14441164,0.025710916,0.15043405
4.655327663831915,-0.1414567,0.030131485,0.1500836
4.704852426213106,-0.13642485,0.034481246,0.14946756
4.754377188594297,-0.1293818,0.038169473,0.14859416
4.8039019509754874,-0.12040113,0.0406446,0.14747237
4.853426713356678,-0.10956726,0.04143692,0.14611216
4.9029514757378685,-0.09698327,0.04019613,0.14452569
4.9524762381190595,-0.08278262,0.03672178,0.1427294
5.0020010005002495,-0.06714278,0.030983774,0.140746
5.0515257628814405,-0.050298467,0.023129422,0.13860656
5.1010505252626315,-0.03255149,0.013474197,0.1363516
5.1505752876438216,-0.014275266,0.0024745418,0.13403124
5.2001000500250125,0.0040882113,-0.009315727,0.1317041
5.249624812406203,0.02204015,-0.021301255,0.12943554
5.299149574787394,0.039045468,-0.032906413,0.12729453
5.348674337168584,0.054561187,-0.043633584,0.12535016
5.398199099549775,0.06807055,-0.05311037,0.123667665
5.447723861930966,0.07911988,-0.06111877,0.12230397
5.497248624312156,0.087353736,-0.06760257,0.121303715
5.546773386693347,0.09254513,-0.07265194,0.12069551
5.596298149074537,0.09461618,-0.07646823,0.120489396
5.645822911455728,0.09364683,-0.079314135,0.12067543
5.695347673836918,0.08986994,-0.08145717,0.121223755
5.744872436218109,0.08365304,-0.08311438,0.12208601
5.7943971985993,0.075468816,-0.08440638,0.123197876
5.84392196098049,0.06585786,-0.08532757,0.124482565
5.893446723361681,0.05538792,-0.08573644,0.12585542
5.942971485742871,0.044614937,-0.085368425,0.12722947
5.992496248124062,0.03404959,-0.083869815,0.12852238
6.042021010505253,0.024132773,-0.08084945,0.12966405
6.091545772886443,0.015221717,-0.075941846,0.13060372
6.141070535267634,0.007586022,-0.06887445,0.13131489
6.190595297648824,0.0014125905,-0.05952934,0.13179566
6.240120060030015,-0.0031840678,-0.047990724,0.132064
6.289644822411205,-0.0061491886,-0.03456988,0.13214843
6.339169584792396,-0.007475933,-0.019801643,0.13207728
6.388694347173587,-0.007196739,-0.0044106115,0.13187028
6.438219109554777,-0.0053789476,0.010750366,0.13153563
6.487743871935968,-0.0021242253,0.024782179,0.13107309
6.537268634317158,0.0024292874,0.036830492,0.13048138
6.586793396698349,0.00810446,0.046172276,0.12976597
6.636318159079539,0.014684135,0.0522845,0.128944
6.68584292146073,0.021913214,0.0548847,0.12804437
6.735367683841921,0.029504905,0.05393782,0.12710454
6.784892446223111,0.037150666,0.049630746,0.12616533
6.834417208604302,0.044533033,0.04232128,0.12526667
6.883941970985492,0.05133971,0.032473527,0.12444535
6.933466733366683,0.05727725,0.020593304,0.12373453
6.982991495747874,0.062082727,0.0071761697,0.12316443
7.032516258129064,0.06553244,-0.0073231263,0.12276269
7.082041020510255,0.067447215,-0.022496494,0.12255399
7.131565782891445,0.0676946,-0.037966896,0.12255881
7.181090545272636,0.066188745,-0.0533591,0.122791685
7.230615307653826,0.06288889,-0.068268254,0.1232599
7.280140070035017,0.057798132,-0.08223757,0.12396266
7.329664832416208,0.050963033,-0.09475449,0.12489127
7.379189594797398,0.042475354,-0.105269805,0.1260298
7.428714357178589,0.03247557,-0.113238744,0.12735598
7.478239119559779,0.021158298,-0.118177876,0.12884168
7.52776388194097,0.0087778075,-0.11972728,0.13045283
7.57728864432216,-0.0043477574,-0.11770596,0.13214868
7.626813406703351,-0.017835898,-0.11214892,0.13388109
7.676338169084542,-0.031245228,-0.10331807,0.13559428
7.725862931465732,-0.044088624,-0.09168365,0.13722615
7.775387693846923,-0.05585505,-0.07787839,0.13871112
7.824912456228113,-0.066039436,-0.062631935,0.13998488
7.874437218609304,-0.07417931,-0.046695236,0.14098957
7.923961980990494,-0.07989417,-0.030766701,0.14167899
7.973486743371685,-0.08292377,-0.015429861,0.14202258
8.023011505752876,-0.08316015,-0.0011098933,0.14200819
8.072536268134067,-0.08066816,0.011947591,0.14164399
8.122061030515257,-0.07569085,0.023675432,0.14095983
8.171585792896447,-0.06863691,0.034164693,0.14000706
8.221110555277638,-0.060049716,0.043630082,0.13885644
8.27063531765883,-0.050560176,0.052366924,0.13759258
8.32016008004002,-0.04082744,0.06070508,0.13630527
8.36968484242121,-0.031473875,0.06896476,0.13507894
8.4192096048024,-0.02302173,0.07741772,0.13398267
8.468734367183592,-0.015838854,0.08625661,0.13306275
8.518259129564782,-0.010100925,0.095573954,0.1323387
8.567783891945973,-0.0057745334,0.105351806,0.13180299
8.617308654327163,-0.002624214,0.11546248,0.13142328
8.666833416708354,-0.00024257439,0.12567985,0.13114682
8.716358179089545,0.0018996545,0.13570008,0.13090633
8.765882941470736,0.0043894607,0.14516973,0.13062716
8.815407703851925,0.007801275,0.1537174,0.13023561
8.864932466233116,0.012628455,0.16098477,0.12966745
8.914457228614307,0.019224754,0.16665293,0.12887558
8.963981990995498,0.027762167,0.17045975,0.12783602
9.013506753376689,0.03820969,0.17220695,0.12655108
9.063031515757878,0.050334215,0.17175664,0.12504981
9.112556278139069,0.06372282,0.1690205,0.12338516
9.16208104052026,0.07782269,0.16394593,0.12162875
9.21160580290145,0.09199332,0.1565049,0.11986366
9.261130565282642,0.10556465,0.14669041,0.11817631
9.31065532766383,0.11789437,0.1345235,0.11664868
9.360180090045022,0.12841925,0.120071456,0.11535166
9.409704852426213,0.13669516,0.103474066,0.114340395
9.459229614807404,0.14242356,0.084972784,0.11365159
9.508754377188595,0.14546317,0.06493497,0.11330274
9.558279139569784,0.14582725,0.04386565,0.11329289
9.607803901950975,0.14366847,0.022400502,0.11360439
9.657328664332166,0.13925402,0.0012766918,0.114205614
