u_total,v_total,w_total
0.28710738,0.15571268,0.20082983
0.29521018,0.17364392,0.2056752
0.30124947,0.1931947,0.20935036
0.3052746,0.21459244,0.21162459
0.3073644,0.2378362,0.21219791
0.30770275,0.26309747,0.21075399
0.30652395,0.290314,0.20695882
0.3041328,0.31932044,0.20051533
0.30085614,0.350066,0.19111949
0.29707378,0.38209757,0.17861958
0.2931413,0.41515142,0.16286114
0.28943515,0.44861668,0.14391014
0.28630775,0.48177868,0.122016236
0.28405267,0.51408833,0.09743024
0.2829431,0.5446318,0.07079543
0.28318346,0.5727903,0.04266376
0.28492957,0.5977503,0.013917385
0.28826293,0.61880744,-0.014452138
0.29323357,0.6355299,-0.041599713
0.29979506,0.64746237,-0.06639651
0.30790704,0.6544812,-0.08799849
0.31743687,0.65658164,-0.1054585
0.32819843,0.6540263,-0.117999904
0.34005073,0.6472688,-0.1251024
0.35274398,0.636973,-0.12634775
0.36599168,0.6240006,-0.12159567
0.37957898,0.6092341,-0.11089487
0.39313504,0.59375775,-0.094597526
0.4063954,0.5785234,-0.07314135
0.41897056,0.5645513,-0.047272284
0.43045458,0.55274624,-0.017942244
0.44050407,0.543772,0.013990892
0.44865623,0.5381913,0.047288798
0.45452714,0.5362647,0.080987185
0.45767105,0.5380407,0.113880426
0.45768246,0.54326963,0.14481774
0.45418087,0.55148643,0.17296113
0.44684768,0.5619253,0.19731005
0.43537092,0.5737026,0.21726936
0.41956395,0.5856979,0.2322326
0.39937198,0.5966799,0.24183103
0.3746891,0.6054504,0.24595153
0.3457372,0.61073107,0.24460545
0.31258836,0.6113851,0.23799379
0.27563155,0.6063646,0.22648104
0.23539415,0.5948644,0.2106107
0.19219242,0.5762177,0.19090746
0.1468202,0.55016524,0.16813706
0.09969132,0.5165069,0.14289835
0.051579855,0.4755048,0.115961015
0.0032747411,0.42776182,0.08809156
-0.04480872,0.37376907,0.05980799
-0.09182565,0.31472486,0.031843398
-0.13745087,0.25145113,0.004592481
-0.18108387,0.18532535,-0.021411978
-0.22222577,0.117830314,-0.045713827
-0.26076457,0.049980387,-0.06809063
-0.29628822,-0.016566958,-0.08814071
-0.32883176,-0.080861025,-0.10570488
-0.35824382,-0.1415462,-0.120500214
-0.3844716,-0.19741724,-0.13229135
-0.40770838,-0.24781065,-0.14094184
-0.42799437,-0.2917981,-0.14624332
-0.44542876,-0.32867613,-0.14804219
-0.46025264,-0.35817435,-0.14622703
-0.4725548,-0.3798721,-0.1407304
-0.482554,-0.39377216,-0.13150601
-0.49036497,-0.39988124,-0.11861375
-0.4961097,-0.39844903,-0.102229565
-0.49993265,-0.3898657,-0.08249333
-0.50191575,-0.37471798,-0.05981142
-0.5021558,-0.35361278,-0.034472186
-0.50072527,-0.3273774,-0.00700895
-0.49770838,-0.29698232,0.021957852
-0.49316856,-0.26323482,0.051972985
-0.4872127,-0.22728887,0.08226731
-0.47990853,-0.18996684,0.11235836
-0.4713794,-0.15232754,0.14155805
-0.4617754,-0.115375906,0.16922547
-0.4511869,-0.07975967,0.19497867
-0.43981156,-0.046368875,0.2182471
-0.42774263,-0.01563022,0.23877779
-0.41515315,0.011922579,0.25622624
-0.40221015,0.035933696,0.27035835
-0.38896716,0.056366928,0.2811125
-0.37558135,0.07310836,0.28836817
-0.3620526,0.0863527,0.2921385
-0.34844837,0.09627665,0.29240984
-0.33480877,0.10317705,0.2892178
-0.32104865,0.10746062,0.2825698
-0.30719844,0.109517045,0.27250943
-0.293143,0.109781325,0.25897852
-0.2788683,0.108661406,0.24196622
-0.26437217,0.10654613,0.22147512
-0.24956515,0.10375611,0.19734056
-0.23452878,0.10056876,0.16961667
-0.21923219,0.09715657,0.13812126
-0.20379145,0.093632944,0.102909215
-0.1883601,0.09002973,0.0641313
-0.17301123,0.08627413,0.021731172
-0.15795729,0.082250856,-0.02396476
-0.14342515,0.07779361,-0.072479986
-0.1295416,0.07266713,-0.12356835
-0.11656597,0.06666919,-0.1763657
