r,f,g,f_s
0.0,1.0,1.0,0.0
0.050001136389463394,0.9975014,0.99573016,0.00027347374
0.10000227277892679,0.9900359,0.9829899,0.0010898652
0.15000340916839017,0.9777133,0.9620555,0.0024371825
0.20000454555785357,0.9607139,0.9333767,0.0042957636
0.250005681947317,0.9392833,0.8975634,0.006638758
0.30000681833678033,0.9137272,0.85536456,0.009432778
0.35000795472624374,0.88440436,0.8076456,0.012638695
0.40000909111570715,0.85171676,0.75536066,0.016212547
0.45001022750517056,0.81610227,0.69952327,0.020106569
0.500011363894634,0.77802324,0.6411774,0.02427022
0.5500125002840973,0.7379579,0.58136725,0.028651297
0.6000136366735607,0.6963892,0.5211085,0.033197027
0.6500147730630241,0.65379614,0.46136346,0.03785505
0.7000159094524875,0.61064434,0.4030177,0.042574476
0.750017045841951,0.5673785,0.3468613,0.047306698
0.8000181822314143,0.5244148,0.29357466,0.0520062
0.8500193186208777,0.48213515,0.2437184,0.056631193
0.9000204550103411,0.44088256,0.19772817,0.061144132
0.9500215913998045,0.40095815,0.1559138,0.06551208
1.000022727789268,0.36261842,0.11846255,0.06970693
1.0500238641787312,0.3260748,0.0854462,0.073705524
1.1000250005681946,0.29149386,0.056830853,0.0774896
1.150026136957658,0.2589989,0.032489363,0.08104564
1.2000272733471213,0.22867173,0.012215392,0.08436469
1.2500284097365848,0.20055582,-0.004261546,0.087441936
1.3000295461260483,0.17466009,-0.017260771,0.090276405
1.3500306825155117,0.15096244,-0.027135285,0.09287052
1.400031818904975,0.12941417,-0.034257513,0.09522956
1.4500329552944384,0.10994424,-0.039006185,0.09736132
1.500034091683902,0.09246339,-0.041754846,0.09927556
1.5500352280733651,0.07686829,-0.04286208,0.10098357
1.6000363644628286,0.06304537,-0.04266364,0.10249779
1.650037500852292,0.050874323,-0.041466437,0.103831336
1.7000386372417553,0.04023119,-0.039544415,0.10499783
1.7500397736312188,0.030991102,-0.037136175,0.10601084
1.8000409100206822,0.023030542,-0.034444064,0.10688393
1.8500420464101455,0.01622923,-0.03163471,0.10763017
1.900043182799609,0.010471597,-0.02884054,0.1082622
1.9500443191890724,0.0056478414,-0.026162257,0.10879201
2.000045455578536,0.0016547334,-0.02367189,0.109230794
2.050046591967999,-0.0016040016,-0.021416314,0.10958905
2.1000477283574623,-0.0042174202,-0.019420907,0.10987643
2.150048864746926,-0.006267397,-0.017693304,0.11010184
2.2000500011363893,-0.007828777,-0.01622705,0.11027336
2.2500511375258525,-0.008969651,-0.015005016,0.11039835
2.300052273915316,-0.0097517995,-0.01400249,0.110483505
2.3500534103047794,-0.010231051,-0.013190004,0.11053477
2.4000545466942427,-0.01045776,-0.012535684,0.11055765
2.4500556830837064,-0.010477242,-0.012007249,0.11055696
2.5000568194731696,-0.010330253,-0.0115736285,0.1105371
2.5500579558626333,-0.010053382,-0.011206072,0.11050196
2.6000590922520965,-0.009679436,-0.010879125,0.11045511
2.6500602286415598,-0.009237757,-0.010571104,0.110399686
2.7000613650310235,-0.00875457,-0.010264353,0.110338494
2.7500625014204867,-0.008253195,-0.009945299,0.11027408
2.80006363780995,-0.0077543063,-0.009604195,0.11020867
2.8500647741994136,-0.007276097,-0.00923484,0.110144295
2.900065910588877,-0.0068344683,-0.0088340845,0.11008271
2.95006704697834,-0.006443141,-0.008401295,0.11002549
3.000068183367804,-0.006113828,-0.007937739,0.109974
3.050069319757267,-0.005856284,-0.0074459654,0.10992945
3.1000704561467303,-0.0056784716,-0.0069292434,0.10989289
3.150071592536194,-0.0055866074,-0.006390968,0.109865196
3.200072728925657,-0.0055853236,-0.005834178,0.10984712
3.2500738653151204,-0.0056777126,-0.0052611707,0.10983922
3.300075001704584,-0.00586545,-0.0046731597,0.10984199
3.3500761380940474,-0.0061489083,-0.004070122,0.10985567
3.4000772744835106,-0.0065272325,-0.0034506896,0.10988046
3.4500784108729743,-0.0069984775,-0.0028122305,0.109916344
3.5000795472624375,-0.007559691,-0.0021509733,0.109963164
3.5500806836519008,-0.0082069915,-0.00146233,0.11002063
3.6000818200413645,-0.00893572,-0.00074118626,0.11008835
3.6500829564308277,-0.009740469,1.7591577e-05,0.11016574
3.700084092820291,-0.010615181,0.0008187081,0.11025215
3.7500852292097546,-0.011553238,0.0016659286,0.1103468
3.800086365599218,-0.012547483,0.0025615294,0.11044885
3.850087501988681,-0.013590316,0.0035058826,0.11055737
3.900088638378145,-0.014673709,0.0044969846,0.1106713
3.950089774767608,-0.015789244,0.0055301148,0.110789664
4.000090911157072,-0.01692816,0.0065976316,0.110911354
4.050092047546535,-0.018081352,0.0076888264,0.11103523
4.100093183935998,-0.019239455,0.008789969,0.111160174
4.150094320325461,-0.020392854,0.009884447,0.11128505
4.200095456714925,-0.021531709,0.0109530715,0.111408666
4.250096593104389,-0.022646047,0.011974509,0.11152989
4.300097729493852,-0.023725796,0.012925841,0.111647554
4.350098865883315,-0.024760922,0.013783203,0.11176052
4.4001000022727785,-0.025741475,0.014522551,0.11186769
4.450101138662242,-0.026657753,0.015120405,0.11196799
4.500102275051705,-0.027500404,0.015554698,0.11206038
4.550103411441169,-0.02826061,0.015805548,0.11214392
4.600104547830632,-0.02893022,0.015856056,0.11221772
4.650105684220096,-0.029501935,0.015692964,0.11228099
4.700106820609559,-0.029969484,0.015307308,0.112333044
4.750107956999022,-0.030327795,0.014694842,0.112373374
4.800109093388485,-0.030573146,0.013856419,0.11240156
4.8501102297779495,-0.03070331,0.012798183,0.11241733
4.900111366167413,-0.030717703,0.011531592,0.112420626
4.950112502556876,-0.030617442,0.010073272,0.11241153
5.000113638946339,-0.030405462,0.008444735,0.112390354
5.050114775335802,-0.030086497,0.006671898,0.11235758
5.100115911725267,-0.029667059,0.0047844974,0.11231382
5.15011704811473,-0.029155403,0.002815362,0.11225999
5.200118184504193,-0.028561424,0.0007995423,0.1121971
5.250119320893656,-0.027896486,-0.0012265891,0.112126336
5.3001204572831195,-0.02717326,-0.0032263158,0.11204904
5.350121593672583,-0.02640543,-0.005163576,0.11196671
5.400122730062047,-0.025607517,-0.007003967,0.11188086
5.45012386645151,-0.024794528,-0.008715689,0.11179313
5.500125002840973,-0.023981681,-0.01027043,0.1117052
5.550126139230437,-0.02318408,-0.011644143,0.1116187
5.6001272756199,-0.022416385,-0.012817688,0.111535214
5.650128412009363,-0.021692507,-0.013777334,0.11145632
5.700129548398827,-0.021025287,-0.014515035,0.11138342
5.7501306847882905,-0.020426244,-0.015028582,0.11131779
5.800131821177754,-0.019905321,-0.015321492,0.11126053
