u_total,v_total,w_total
-0.11977628,-0.25100052,-0.28026518
-0.1552571,-0.2413039,-0.26165023
-0.19020832,-0.22220747,-0.2205431
-0.22131923,-0.19659518,-0.15811932
-0.24540791,-0.16828911,-0.07889427
-0.25994676,-0.14136426,0.00955582
-0.26350716,-0.11941548,0.09762774
-0.25597632,-0.104998015,0.17527394
-0.23849769,-0.0993632,0.23387861
-0.21315673,-0.10253699,0.2679068
-0.18248121,-0.1136425,0.27601373
-0.14889556,-0.13132069,0.2612032
-0.1142563,-0.15407881,0.22997364
-0.07962622,-0.18043227,0.19063413
-0.045296688,-0.20885564,0.15117577
-0.011087005,-0.23761573,0.11725465
0.023201324,-0.26466158,0.09080516
0.057277203,-0.2876713,0.06969616
0.09001625,-0.30436063,0.048494246
0.11937413,-0.31296048,0.020190923
0.14264564,-0.31272638,-0.02156909
0.1569933,-0.30427837,-0.08029558
0.16014878,-0.2896292,-0.15508693
0.15105236,-0.2718376,-0.24005899
0.13022947,-0.2543498,-0.32497114
0.099780254,-0.24021453,-0.39684135
0.06294741,-0.23134322,-0.44234395
0.023391431,-0.2280135,-0.45040512
-0.015636804,-0.22871175,-0.41449413
-0.05193312,-0.23034868,-0.33411756
-0.084659256,-0.22880389,-0.21519692
-0.11422513,-0.2197335,-0.0692179
-0.14183152,-0.19951792,0.088740736
-0.16881502,-0.16621418,0.24251175
-0.19605859,-0.12030103,0.37753198
-0.22361182,-0.065011635,0.48298088
-0.25061905,-0.0060867374,0.55299646
-0.27553347,0.049113054,0.5868321
-0.2964782,0.0929159,0.5880095
-0.3116549,0.11883529,0.5629278
-0.31966066,0.12278235,0.51927257
-0.3196805,0.10369034,0.4646077
-0.3115572,0.063416086,0.40540317
-0.29579696,0.0060509145,0.3464813
-0.27354154,-0.06305172,0.29085916
-0.24651735,-0.13819005,0.23984785
-0.21696252,-0.21383673,0.19340496
-0.18747056,-0.28482306,0.15061566
-0.16074973,-0.3462563,0.110341616
-0.13929422,-0.39348456,0.071895964
-0.12504931,-0.4222531,0.03563615
-0.11910825,-0.42921636,0.003206991
-0.121546045,-0.41260377,-0.022669625
-0.1314294,-0.37279525,-0.03889758
-0.14699782,-0.31254607,-0.042984433
-0.16597219,-0.23667452,-0.033996496
-0.18590747,-0.1512775,-0.013091706
-0.20451662,-0.062667154,0.016615868
-0.21987881,0.023527682,0.050830875
-0.23053992,0.10292694,0.08525993
-0.23549667,0.17238908,0.11673787
-0.23412235,0.22958146,0.14387895
-0.22608557,0.27231926,0.16696732
-0.21132016,0.2981261,0.1871742
-0.19006588,0.3042027,0.20539097
-0.16296628,0.28792852,0.22118826
-0.13120273,0.24775633,0.23233508
-0.096574314,0.18421143,0.23514885
-0.06147345,0.10063778,0.22558945
-0.028693369,0.0033597134,0.20073985
-0.0010974172,-0.09877772,0.16016746
0.018858235,-0.19557406,0.106660604
0.02961312,-0.27702758,0.04606115
0.030907078,-0.33502626,-0.013837999
0.02397224,-0.36472392,-0.06498039
0.011453969,-0.3654236,-0.10095332
-0.0029665867,-0.34066814,-0.11854655
-0.015184842,-0.2975413,-0.118584976
-0.021408778,-0.24526927,-0.10580453
-0.018853964,-0.19345373,-0.08777673
-0.006271884,-0.15023589,-0.07310154
0.015821483,-0.12081491,-0.06926744
0.04523938,-0.1066624,-0.08070834
0.07853679,-0.105535015,-0.10754069
0.11164152,-0.1123091,-0.14536649
0.14058016,-0.12039392,-0.18623902
0.16217323,-0.12337582,-0.22058919
0.17454454,-0.116483845,-0.2395581
0.17740871,-0.097550035,-0.23715676
0.1720614,-0.067266405,-0.21162274
0.16110119,-0.028724965,-0.16564779
0.1479451,0.013539602,-0.105533674
0.13621965,0.054757334,-0.039581843
0.1291431,0.0910217,0.023735946
0.12899612,0.12005844,0.077366054
0.1367725,0.14149384,0.11663151
0.15204567,0.15668231,0.13959773
0.17306669,0.16816217,0.14690354
0.1970695,0.17891528,0.14130944
0.22070205,0.19158195,0.1271378
0.24054204,0.20779268,0.10969151
0.25359643,0.2277201,0.09462427
0.25772148,0.24995139,0.08721882
0.2519075,0.27173635,0.09157698
