r,f,g,f_s
0.0,1.0,1.0,0.0
0.05000312519532471,0.997509,0.99554074,0.00027993627
0.10000625039064942,0.9899509,0.982133,0.0011156712
0.15000937558597413,0.9774375,0.96005577,0.0024949824
0.20001250078129884,0.96015185,0.92976516,0.004397762
0.2500156259766235,0.9383448,0.8918802,0.006796501
0.30001875117194826,0.9123286,0.8471641,0.009656953
0.350021876367273,0.8824693,0.79649955,0.012938934
0.4000250015625977,0.84917915,0.7408639,0.016597262
0.45002812675792236,0.81290585,0.6812993,0.020582778
0.500031251953247,0.77412385,0.61888415,0.024843438
0.5500343771485718,0.73332393,0.55470335,0.02932543
0.6000375023438965,0.69100225,0.48982036,0.033974264
0.6500406275392212,0.64765185,0.42525122,0.03873589
0.700043752734546,0.60375214,0.36194202,0.043557655
0.7500468779298707,0.5597618,0.30074942,0.04838926
0.8000500031251954,0.51611024,0.2424256,0.053183556
0.85005312832052,0.47319195,0.18760735,0.057897225
0.9000562535158447,0.4313616,0.13680978,0.062491335
0.9500593787111695,0.3909301,0.09042405,0.06693174
1.000062503906494,0.35216224,0.048718993,0.07118935
1.0500656291018189,0.3152756,0.011846308,0.07524023
1.1000687542971437,0.28044078,-0.0201513,0.079065666
1.1500718794924683,0.24778216,-0.047329724,0.08265191
1.200075004687793,0.21738032,-0.06983133,0.08599014
1.2500781298831178,0.18927485,-0.08787167,0.08907595
1.3000812550784424,0.16346782,-0.101725936,0.091909125
1.3500843802737672,0.13992803,-0.11171513,0.09449308
1.400087505469092,0.1185951,-0.11819315,0.096834466
1.4500906306644166,0.09938427,-0.12153441,0.098942645
1.5000937558597414,0.08219092,-0.12212287,0.100829154
1.550096881055066,0.06689504,-0.1203423,0.102507256
1.6001000062503907,0.053365648,-0.11656805,0.10399143
1.6501031314457155,0.041464787,-0.1111603,0.10529693
1.70010625664104,0.031051302,-0.10445884,0.1064394
1.7501093818363649,0.02198409,-0.096778885,0.107434414
1.8001125070316895,0.014125027,-0.08840856,0.10829727
1.8501156322270143,0.0073414044,-0.07960712,0.109042645
1.900118757422339,0.001507882,-0.07060422,0.10968434
1.9501218826176636,-0.0034919267,-0.06159985,0.11023522
2.000125007812988,-0.007764382,-0.05276493,0.11070695
2.050128133008313,-0.011405104,-0.04424231,0.111110054
2.1001312582036378,-0.014498593,-0.03614816,0.11145374
2.1501343833989623,-0.017118296,-0.02857352,0.11174604
2.2001375085942874,-0.019326834,-0.021586102,0.11199376
2.250140633789612,-0.021176543,-0.015232127,0.11220253
2.3001437589849365,-0.022710234,-0.009538287,0.11237701
2.3501468841802615,-0.0239621,-0.0045136986,0.11252083
2.400150009375586,-0.024958752,-0.0001519144,0.11263683
2.4501531345709107,-0.025720313,0.0035670868,0.112727165
2.5001562597662357,-0.026261577,0.006674889,0.11279338
2.5501593849615602,-0.026593216,0.009212674,0.112836584
2.600162510156885,-0.026722891,0.011229218,0.112857595
2.65016563535221,-0.026656339,0.012779029,0.11285696
2.7001687605475344,-0.026398472,0.0139203975,0.11283521
2.750171885742859,-0.02595419,0.014713689,0.11279286
2.800175010938184,-0.025329256,0.015219585,0.1127305
2.8501781361335086,-0.024530947,0.015497515,0.11264894
2.900181261328833,-0.023568584,0.0156042185,0.11254918
2.9501843865241577,-0.022453949,0.015592429,0.11243252
3.0001875117194827,-0.021201462,0.015509794,0.112300545
3.0501906369148073,-0.01982833,0.015397919,0.11215518
3.100193762110132,-0.018354477,0.015291645,0.11199862
3.150196887305457,-0.01680235,0.015218491,0.11183334
3.2002000125007815,-0.015196649,0.015198374,0.11166211
3.250203137696106,-0.013563881,0.015243444,0.111487865
3.300206262891431,-0.011931887,0.0153581565,0.111313686
3.3502093880867556,-0.01032925,0.015539549,0.11114275
3.40021251328208,-0.00878472,0.015777618,0.11097823
3.450215638477405,-0.007326493,0.016055938,0.11082324
3.5002187636727298,-0.0059815804,0.016352348,0.11068077
3.5502218888680543,-0.0047751158,0.016639829,0.110553615
3.600225014063379,-0.0037297271,0.016887398,0.11044423
3.650228139258704,-0.0028649794,0.017061178,0.11035478
