r,f,g,f_s
0.0,1.0,1.0,0.0
0.050002500125006254,0.9974452,0.9955432,0.00026452332
0.10000500025001251,0.9899224,0.98219246,0.0010541059
0.15000750037501875,0.97754705,0.96024334,0.0023568033
0.20001000050002501,0.9605078,0.9301784,0.004152977
0.2500125006250313,0.9390609,0.892651,0.006415772
0.3000150007500375,0.91352457,0.8484639,0.009111764
0.3500175008750438,0.8842705,0.79854363,0.012201769
0.40002000100005003,0.8517159,0.7439112,0.015641766
0.45002250112505626,0.8163134,0.68565047,0.019383917
0.5000250012500626,0.77854,0.62487566,0.023377664
0.5500275013750688,0.738888,0.56269985,0.02757084
0.600030001500075,0.69785386,0.5002038,0.031910762
0.6500325016250813,0.6559277,0.43840823,0.036345325
0.7000350017500876,0.6135856,0.37824985,0.04082398
0.7500375018750938,0.5712795,0.32056057,0.04529864
0.8000400020001001,0.5294313,0.26605263,0.049724467
0.8500425021251063,0.48842573,0.21530789,0.054060545
0.9000450022501125,0.44860652,0.16877253,0.058270346
0.9500475023751188,0.41027218,0.1267566,0.06232214
1.000050002500125,0.37367487,0.08943775,0.066189185
1.0500525026251313,0.33901867,0.05686916,0.06984982
1.1000550027501377,0.30646092,0.028990578,0.07328741
1.1500575028751439,0.276113,0.005641963,0.07649015
1.20006000300015,0.24804324,-0.0134211555,0.07945088
1.2500625031251564,0.22227974,-0.028511234,0.08216667
1.3000650032501626,0.19881421,-0.039992046,0.08463846
1.3500675033751688,0.17760617,-0.04826238,0.086870566
1.4000700035001752,0.15858725,-0.053740587,0.0888703
1.4500725036251814,0.14166565,-0.056850556,0.09064743
1.5000750037501875,0.12673075,-0.058009412,0.0922137
1.550077503875194,0.113657095,-0.057617076,0.093582444
1.6000800040002001,0.10230869,-0.05604788,0.09476812
1.6500825041252063,0.0925426,-0.053644262,0.095785916
1.7000850042502127,0.0842123,-0.05071232,0.09665148
1.7500875043752189,0.07717065,-0.04751923,0.097380474
1.800090004500225,0.0712724,-0.04429224,0.09798845
1.8500925046252314,0.06637637,-0.041219033,0.09849056
1.9000950047502376,0.062347166,-0.038449135,0.09890133
1.9500975048752438,0.059056602,-0.03609628,0.09923458
2.00010000500025,0.056384686,-0.03424128,0.099503286
2.0501025051252566,0.05422043,-0.032935373,0.099719435
2.1001050052502626,0.05246233,-0.032203685,0.09989403
2.150107505375269,0.05101863,-0.03204883,0.100036986
2.2001100055002754,0.049807444,-0.03245436,0.10015715
2.2501125056252813,0.04875657,-0.0333881,0.10026226
2.3001150057502877,0.047803435,-0.03480522,0.10035897
2.350117505875294,0.04689471,-0.036651086,0.1004529
2.4001200060003,0.04598588,-0.038863823,0.10054864
2.4501225061253065,0.04504085,-0.0413766,0.100649826
2.500125006250313,0.044031415,-0.044119727,0.10075921
2.550127506375319,0.042936664,-0.047022466,0.1008787
2.600130006500325,0.041742433,-0.05001465,0.1010095
2.6501325066253316,0.04044064,-0.053028125,0.101152144
2.7001350067503376,0.039028686,-0.055998065,0.101306595
2.750137506875344,0.037508786,-0.05886401,0.10147236
2.8001400070003504,0.03588732,-0.061570928,0.101648554
2.8501425071253563,0.03417415,-0.06406998,0.10183395
2.9001450072503627,0.03238204,-0.06631916,0.102027096
2.950147507375369,0.030525949,-0.06828383,0.10222637
3.000150007500375,0.02862245,-0.069937065,0.10243004
3.0501525076253815,0.026689138,-0.071259744,0.102636285
3.100155007750388,0.0247441,-0.0722405,0.1028433
3.150157507875394,0.022805374,-0.07287557,0.103049286
3.2001600080004002,0.020890506,-0.07316824,0.10325254
3.2501625081254066,0.019016111,-0.07312838,0.103451416
3.3001650082504126,0.01719758,-0.07277154,0.103644416
3.350167508375419,0.015448661,-0.07211815,0.103830226
3.4001700085004254,0.013781348,-0.0711924,0.104007654
3.4501725086254313,0.012205628,-0.070021145,0.10417574
3.5001750087504377,0.010729342,-0.06863279,0.10433371
3.550177508875444,0.00935821,-0.06705604,0.10448099
3.60018000900045,0.00809574,-0.06531881,0.10461724
3.6501825091254565,0.006943308,-0.063447215,0.104742296
3.700185009250463,0.00590027,-0.06146453,0.10485623
3.750187509375469,0.0049641035,-0.05939051,0.10495927
3.8001900095004753,0.0041305586,-0.05724076,0.105051845
3.8501925096254817,0.0033938836,-0.05502633,0.10513446
3.9001950097504876,0.0027471029,-0.052753568,0.10520781
3.950197509875494,0.0021822006,-0.050424226,0.10527265
4.0002000100005,0.0016904477,-0.048035648,0.10532982
4.050202510125507,0.0012626584,-0.04558138,0.105380185
4.100205010250513,0.0008894163,-0.043051787,0.10542462
4.150207510375519,0.000561374,-0.040434886,0.105464056
4.200210010500525,0.0002694687,-0.0377173,0.10549931
4.2502125106255315,5.1142956e-06,-0.034885347,0.10553121
4.300215010750538,-0.00023962432,-0.03192599,0.10556054
4.350217510875544,-0.0004718389,-0.028827937,0.10558797
4.400220011000551,-0.00069776684,-0.02558255,0.105614126
4.450222511125556,-0.00092265854,-0.022184743,0.10563954
4.500225011250563,-0.0011508279,-0.018633684,0.1056647
4.550227511375569,-0.0013856374,-0.014933266,0.10568997
4.600230011500575,-0.0016295839,-0.011092515,0.10571566
4.650232511625582,-0.0018844169,-0.0071256817,0.10574203
4.700235011750588,-0.0021512518,-0.0030521557,0.10576926
4.750237511875594,-0.0024307503,0.0011038106,0.1057975
4.8002400120006,-0.0027233285,0.0053135683,0.10582686
4.8502425121256065,-0.0030292673,0.009544727,0.105857454
4.900245012250613,-0.0033489899,0.013761886,0.10588939
4.950247512375619,-0.003683207,0.017927496,0.10592276
5.000250012500626,-0.0040330538,0.02200281,0.10595771
5.050252512625631,-0.004400296,0.025948748,0.10599445
5.100255012750638,-0.004787373,0.0297269,0.1060332
5.150257512875644,-0.0051975176,0.03330034,0.10607429
5.20026001300065,-0.0056347633,0.036634445,0.10611802
5.250262513125657,-0.0061039208,0.03969758,0.106164895
5.300265013250663,-0.0066105435,0.042461697,0.10621537
5.350267513375669,-0.007160793,0.044902753,0.106269985
5.400270013500675,-0.0077613113,0.0470011,0.10632933
5.4502725136256815,-0.008419056,0.048741635,0.10639402
5.500275013750688,-0.009141043,0.050113913,0.10646473
5.550277513875694,-0.009934138,0.051112156,0.10654212
5.600280014000701,-0.010804834,0.051735103,0.106626846
5.650282514125706,-0.011758938,0.051985867,0.106719546
5.700285014250713,-0.012801386,0.05187171,0.106820814
5.750287514375719,-0.013935947,0.051403727,0.106931224
5.8002900145007255,-0.015165099,0.050596576,0.10705118
5.850292514625732,-0.016489755,0.04946813,0.107181035
5.900295014750738,-0.01790919,0.048039168,0.10732097
5.950297514875744,-0.019420909,0.04633297,0.107471004
6.00030001500075,-0.021020636,0.044375006,0.10763095
6.050302515125757,-0.022702282,0.04219253,0.10780046
6.100305015250763,-0.024458023,0.0398142,0.107978895
6.150307515375769,-0.026278399,0.037269697,0.10816547
6.200310015500776,-0.028152453,0.034589294,0.108359106
6.250312515625781,-0.030067954,0.031803392,0.10855858
6.300315015750788,-0.03201162,0.02894212,0.108762465
6.350317515875794,-0.03396933,0.026034798,0.10896919
6.4003200160008005,-0.035926457,0.023109516,0.10917707
6.450322516125807,-0.0378681,0.020192632,0.109384365
6.500325016250813,-0.039779425,0.01730832,0.109589286
