r,f,g,f_s
0.0,1.0,1.0,0.0
0.05000104168836851,0.9976238,0.9951737,0.00027876993
0.10000208337673702,0.9905173,0.9807805,0.0011109444
0.15000312506510555,0.97878563,0.95714355,0.0024842126
0.20000416675347404,0.9626016,0.9247895,0.004378388
0.25000520844184254,0.9422014,0.88443184,0.0067659062
0.3000062501302111,0.917878,0.83694744,0.009612499
0.3500072918185796,0.8899752,0.783348,0.012878016
0.4000083335069481,0.8588788,0.72474915,0.01651737
0.4500093751953166,0.8250079,0.66233504,0.020481575
0.5000104168836851,0.7888053,0.5973244,0.024718856
0.5500114585720536,0.75072825,0.5309345,0.029175764
0.6000125002604222,0.7112382,0.4643486,0.033798277
0.6500135419487907,0.6707923,0.39868474,0.038532916
0.7000145836371592,0.62983453,0.33496916,0.043327704
0.7500156253255277,0.5887878,0.27411434,0.048133105
0.8000166670138962,0.5480471,0.2169015,0.052902818
0.8500177087022647,0.50797445,0.1639691,0.05759443
0.9000187503906332,0.4688935,0.11580649,0.062169954
0.9500197920790017,0.4310871,0.07275312,0.06659621
1.0000208337673702,0.39479497,0.035002265,0.070845045
1.0500218754557387,0.36021316,0.0026094578,0.07489343
1.1000229171441072,0.32749417,-0.02449566,0.078723446
1.1500239588324757,0.29674852,-0.046494555,0.082322106
1.2000250005208444,0.26804674,-0.063662894,0.085681096
1.2500260422092129,0.2414225,-0.07635257,0.08879648
1.3000270838975814,0.21687602,-0.08497316,0.09166825
1.3500281255859499,0.19437781,-0.08997374,0.09429983
1.4000291672743184,0.17387296,-0.091825664,0.09669773
1.4500302089626869,0.15528537,-0.09100671,0.09887093
1.5000312506510554,0.13852175,-0.08798708,0.10083039
1.5500322923394239,0.12347586,-0.083217576,0.10258865
1.6000333340277924,0.1100322,-0.077120006,0.10415931
1.6500343757161609,0.09806958,-0.07007989,0.10555662
1.7000354174045293,0.08746421,-0.062441394,0.10679517
1.7500364590928978,0.07809252,-0.054504417,0.10788947
1.8000375007812663,0.06983342,-0.04652352,0.10885376
