u_total,v_total,w_total
-0.033727527,-0.091461316,-0.004106204
-0.041311417,-0.096995056,-0.003916081
-0.04942122,-0.102305554,-0.004340916
-0.05797861,-0.107356355,-0.005417778
-0.066799544,-0.11205772,-0.007138187
-0.07576365,-0.116365485,-0.009468809
-0.08466954,-0.12019952,-0.012328802
-0.09330588,-0.12348526,-0.015602713
-0.10152109,-0.1261751,-0.019179251
-0.10908521,-0.12819886,-0.022904368
-0.11585559,-0.12951909,-0.026661774
-0.12165031,-0.13009611,-0.030322336
-0.12632106,-0.1299146,-0.033783723
-0.12978165,-0.1289769,-0.037004523
-0.13194273,-0.12730849,-0.03995961
-0.13276239,-0.124964856,-0.042671937
-0.1322379,-0.12200676,-0.045229547
-0.13039872,-0.11854181,-0.04773615
-0.1272925,-0.11466433,-0.05035481
-0.123004384,-0.110506974,-0.05325509
-0.11764988,-0.10621229,-0.056615543
-0.11131627,-0.10189176,-0.06063772
-0.10415235,-0.097692214,-0.06546886
-0.0962391,-0.09370696,-0.071268186
-0.08770007,-0.09004257,-0.07811391
-0.0786498,-0.086781025,-0.086014725
-0.069115154,-0.083957516,-0.09496838
-0.05918936,-0.08161483,-0.10481209
-0.048843708,-0.07975161,-0.115390986
-0.038093634,-0.07837168,-0.12639302
-0.026929962,-0.07746938,-0.13741909
-0.0152335,-0.07703808,-0.1480742
-0.002971194,-0.07709269,-0.15779161
0.010030691,-0.07767105,-0.16604896
0.023877181,-0.07884368,-0.17221385
0.03868185,-0.08071226,-0.17565869
0.054680668,-0.08343016,-0.17578612
0.072011314,-0.087170444,-0.1720019
0.09080265,-0.092117146,-0.16380893
0.11132183,-0.09849605,-0.15073101
0.13363746,-0.10645814,-0.13250764
0.1580153,-0.11618017,-0.108858235
0.18454088,-0.12770772,-0.079782724
0.21325259,-0.14096504,-0.04550177
0.24436706,-0.15584576,-0.0061544627
0.27776626,-0.1719564,0.037583053
0.31359512,-0.18889153,0.08526555
0.3516965,-0.20596662,0.13597156
0.39182228,-0.22234783,0.18861233
0.4339466,-0.23720244,0.24238044
0.4775621,-0.24947146,0.29587927
0.52249587,-0.2582029,0.3482
0.56817275,-0.26239106,0.3980499
0.6139303,-0.26118517,0.4442158
