u_total,v_total,w_total
-0.048324663,0.14420146,0.02996506
-0.05161193,0.15555534,0.031564884
-0.05472326,0.1664791,0.031781778
-0.057633027,0.17672135,0.03024061
-0.06033929,0.18605228,0.026564755
-0.062852815,0.19422299,0.02040174
-0.06521243,0.20102087,0.011423279
-0.06747467,0.2062397,-0.00062325643
-0.069726154,0.209723,-0.015939668
-0.07207228,0.2113477,-0.034597676
-0.074647605,0.2110486,-0.056595914
-0.07760212,0.20881607,-0.08175397
-0.081111036,0.20469823,-0.109807804
-0.085356146,0.19881064,-0.14028105
-0.09053844,0.19131422,-0.17262068
-0.09685135,0.18243647,-0.20605546
-0.104499005,0.17242613,-0.23976648
-0.113658495,0.16158336,-0.27274802
-0.124509044,0.15019728,-0.30400038
-0.13717854,0.13858224,-0.33240917
-0.15178826,0.12700723,-0.35694093
-0.16838218,0.11573606,-0.37655666
-0.18699057,0.104956724,-0.3903835
-0.20754133,0.094825886,-0.39767218
-0.22994533,0.08540644,-0.397913
-0.25399193,0.07671276,-0.39084297
-0.27945495,0.06866409,-0.3764762
-0.3059765,0.061130222,-0.35515338
-0.33317578,0.053904075,-0.3274892
-0.36060938,0.046727903,-0.29435998
-0.38772634,0.039319992,-0.25694203
-0.41399536,0.03136011,-0.21650375
-0.43878615,0.022544378,-0.17451411
-0.4615092,0.012564832,-0.13236633
-0.4815134,0.0011720185,-0.09149257
-0.4982112,-0.011856593,-0.053080656
-0.5110008,-0.02664354,-0.018196741
-0.51936376,-0.04326115,0.012454133
-0.52282196,-0.06164788,0.038395196
-0.5209929,-0.08168112,0.05953442
-0.51359177,-0.10308348,0.07602189
-0.50043374,-0.12552013,0.08831192
-0.48148248,-0.14850034,0.09701871
-0.4567953,-0.17149492,0.10290117
-0.42661774,-0.19384114,0.10673356
-0.39126796,-0.21487217,0.10925267
-0.35127598,-0.23383476,0.11106241
-0.3072058,-0.250018,0.11258893
-0.2598338,-0.2626941,0.114034496
-0.209919,-0.2712277,0.115373194
-0.15840761,-0.275049,0.11635772
-0.10616691,-0.27372447,0.11656308
-0.054205757,-0.26696718,0.11543824
-0.0033912307,-0.25465077,0.11237484
0.045328524,-0.23685804,0.10678828
0.09119804,-0.21382503,0.09817172
0.13344355,-0.18602487,0.08618555
0.17149276,-0.15406333,0.07067076
0.20489359,-0.11868501,0.05167918
0.23327331,-0.08082012,0.029521555
0.25647426,-0.041390345,0.004664812
0.27441144,-0.0014475842,-0.02219753
0.28717405,0.038058516,-0.050314028
0.29492167,0.07613248,-0.07880376
0.29792753,0.1119631,-0.10685033
0.29651687,0.14477286,-0.13362083
0.29106006,0.17401572,-0.1584472
0.28195488,0.19923401,-0.18073168
0.26958182,0.22020607,-0.20008668
0.254329,0.23681737,-0.21623255
0.23652095,0.24915096,-0.22908464
0.21648367,0.25738305,-0.23865613
0.19445552,0.26181868,-0.2450959
0.1706863,0.26282102,-0.24861334
0.14533655,0.2608041,-0.24948119
0.118602484,0.25619847,-0.2479927
0.09060489,0.24941806,-0.24444608
0.06153238,0.24086246,-0.23913735
0.031517774,0.23086958,-0.23233576
0.0007911456,0.21974929,-0.22430697
-0.030457428,0.20773189,-0.2152835
-0.061923802,0.19502233,-0.20550631
-0.09334059,0.181748,-0.19518739
-0.12432866,0.16802508,-0.18455936
-0.15454005,0.15391068,-0.17383336
-0.18361162,0.139432,-0.16321406
-0.21113043,0.1246196,-0.15291391
-0.2367741,0.10944865,-0.14309795
-0.26019835,0.09391461,-0.1339223
-0.28118062,0.07796073,-0.12547475
-0.29952416,0.061556403,-0.11780751
-0.31517413,0.04462211,-0.110888
-0.3281391,0.027114566,-0.104630716
-0.33856943,0.008950082,-0.0988623
-0.34669384,-0.0098997895,-0.0933576
-0.3528601,-0.0294859,-0.08781998
-0.35747972,-0.049775675,-0.081923194
-0.3610385,-0.070735656,-0.075301446
-0.36404657,-0.09221922,-0.067599155
-0.36702916,-0.114058316,-0.058459707
-0.37047938,-0.13595335,-0.04758533
-0.3748459,-0.15757774,-0.03471159
-0.38048604,-0.17847851,-0.019678533
-0.38766608,-0.19819385,-0.0023806193
-0.39651364,-0.21617278,0.017151108
-0.4070434,-0.23189633,0.03882945
-0.4191088,-0.24482231,0.062418144
-0.43245724,-0.25449502,0.08764383
-0.44668236,-0.26051688,0.114093326
-0.46130547,-0.26262566,0.14135134
-0.47573003,-0.26069212,0.16889162
-0.48933777,-0.25474852,0.19622824
-0.50144935,-0.24500585,0.22280395
-0.51141244,-0.2318347,0.24812742
-0.51859987,-0.21575291,0.2717369
-0.52242875,-0.19744438,0.29317448
-0.5224093,-0.17765546,0.31209484
-0.51814604,-0.15724635,0.32816532
-0.5093508,-0.1370568,0.34115776
-0.49587506,-0.11796213,0.3508683
-0.47767186,-0.100737765,0.3571696
-0.45486212,-0.086115696,0.3599558
-0.4276455,-0.07467369,0.35916084
-0.39640483,-0.06688462,0.35473603
-0.36156753,-0.063049115,0.34663737
-0.32374516,-0.06333017,0.33484644
-0.28355482,-0.067737706,0.31932986
-0.24178644,-0.0761392,0.3001073
-0.19919302,-0.08829756,0.27718753
-0.15667376,-0.10385131,0.25068054
-0.1150482,-0.122396655,0.2207071
-0.07523908,-0.14343572,0.18754843
-0.038047966,-0.1664896,0.1515213
-0.004321761,-0.19101813,0.11315398
0.025251038,-0.2165487,0.07302033
0.0500021,-0.24257272,0.0319242
0.06944809,-0.26867828,-0.009305026
0.083190046,-0.29443154,-0.049636986
0.09101927,-0.3194878,-0.08804856
0.09287458,-0.34354097,-0.12348541
0.08885833,-0.36627486,-0.15485029
0.07923213,-0.3874568,-0.18119965
0.06442594,-0.40681767,-0.20164487
0.04497605,-0.42414638,-0.21552406
0.02157473,-0.43918815,-0.22234392
-0.00504824,-0.45172268,-0.22187294
-0.03404227,-0.46149024,-0.2141239
-0.06459308,-0.46825516,-0.19935167
-0.095813304,-0.47176477,-0.17807613
-0.12691702,-0.4717946,-0.1509865
-0.1570947,-0.4681463,-0.11900445
-0.18568473,-0.46066588,-0.08311233
-0.21204394,-0.44928202,-0.044458248
-0.2356976,-0.43398815,-0.004137371
-0.25621927,-0.41491666,0.036666147
-0.273347,-0.39227563,0.076909766
-0.2868813,-0.36645153,0.11552573
-0.2967644,-0.33789766,0.15163483
-0.3030042,-0.3072545,0.18437196
-0.305715,-0.27519307,0.21306545
-0.3050743,-0.2425418,0.23707731
-0.30132616,-0.21009831,0.2559404
-0.29477265,-0.1787527,0.26923665
-0.28574696,-0.1492895,0.27668756
-0.27463466,-0.122498214,0.2780917
-0.26182356,-0.09899171,0.2733648
-0.24774863,-0.07929976,0.26254317
-0.23283379,-0.06373572,0.24578369
-0.21750706,-0.05243023,0.22336753
-0.20222439,-0.045333065,0.19576728
-0.18739851,-0.042172793,0.16354841
-0.17346506,-0.042506516,0.12750019
-0.16080531,-0.045729198,0.088467784
-0.14980517,-0.05110749,0.047506966
-0.1407869,-0.05783713,0.005662402
-0.13405477,-0.0650641,-0.035874326
-0.1298439,-0.071964495,-0.07601277
-0.12834671,-0.077756695,-0.1136141
-0.12968692,-0.08177514,-0.14773491
-0.1339212,-0.08347747,-0.17749286
-0.14104423,-0.08248623,-0.20226978
-0.15096532,-0.078595094,-0.22159697
-0.16354398,-0.07176456,-0.23529057
-0.1785436,-0.06213129,-0.24335933
-0.19569544,-0.049954724,-0.24605915
-0.21463227,-0.03563551,-0.24382712
-0.23497716,-0.019622203,-0.23725896
-0.25626045,-0.0024422763,-0.2270734
-0.27802825,0.015413346,-0.21403225
-0.29975003,0.0334442,-0.19893782
-0.32093617,0.05125927,-0.1825234
-0.34104624,0.06851605,-0.16548412
-0.35960567,0.08502571,-0.14836715
-0.37612352,0.100679785,-0.13163202
-0.3901971,0.115532085,-0.11556122
