u_total,v_total,w_total
0.043795157,0.25875667,0.095773295
0.06269565,0.3166939,0.121043585
0.08489673,0.36891565,0.14946526
0.10908637,0.40794063,0.1807897
0.13328794,0.42672482,0.21470912
0.15489556,0.42000633,0.2505532
0.17109671,0.38578054,0.2872451
0.17921595,0.32620645,0.3229336
0.17727995,0.24745525,0.35507908
0.16442038,0.15902837,0.3803958
0.14113122,0.071650274,0.39535022
0.10934833,-0.004446181,0.39661545
0.072081506,-0.061849143,0.38181287
0.033070393,-0.0968589,0.3501507
-0.0040041027,-0.11001604,0.30277976
-0.035940588,-0.105210856,0.24304691
-0.060639717,-0.08834912,0.17599261
-0.077164516,-0.06571735,0.10799903
-0.08580598,-0.042510945,0.045606293
-0.08773438,-0.022091152,-0.005137505
-0.08465617,-0.0057249283,-0.03985435
-0.07839948,0.0068978323,-0.056260753
-0.07057963,0.01699866,-0.05465087
-0.062426377,0.025872577,-0.03774275
-0.054678213,0.03437811,-0.010228518
-0.047648937,0.042663805,0.021894746
-0.041278828,0.05031144,0.052335836
-0.035282694,0.056626182,0.07526583
-0.029245451,0.06108099,0.086212814
-0.022768166,0.06364713,0.082520306
-0.01562856,0.06497365,0.063675895
-0.007911725,0.066346996,0.0313108
-0.00018728676,0.06939554,-0.010914698
0.0064442237,0.07562926,-0.057882532
0.010346153,0.085866824,-0.1034497
0.009549963,0.099777654,-0.14145222
0.002064855,0.11556794,-0.16638292
-0.01370859,0.13013434,-0.1744197
-0.03850563,0.13949077,-0.16399613
-0.07194359,0.13965799,-0.13619763
-0.1122645,0.12760705,-0.09474834
-0.15660208,0.10212407,-0.045383517
-0.20113322,0.06439047,0.00483095
-0.24178375,0.017867133,0.048796684
-0.27456945,-0.03205698,0.0802458
-0.29626358,-0.07921261,0.09484382
-0.30457535,-0.11754588,0.09063249
-0.29839638,-0.14239432,0.068295866
-0.27775058,-0.15110698,0.031009795
-0.24364455,-0.1435611,-0.016124075
-0.1980061,-0.12210041,-0.06658389
-0.14336455,-0.09110566,-0.11343861
-0.08291913,-0.056398865,-0.14998011
-0.020120425,-0.02424167,-0.1707917
0.041253746,-0.00056069857,-0.17235792
0.09767213,0.01006676,-0.15373005
0.14589329,0.005020178,-0.11676177
0.18354264,-0.015848044,-0.065868266
0.20922574,-0.05014865,-0.0073829424
0.22259784,-0.09309679,0.051288016
0.22435023,-0.13828361,0.10305642
0.21587059,-0.17841901,0.1419386
0.19889519,-0.20667444,0.16405201
0.17520455,-0.21768343,0.16779768
0.1463193,-0.20865588,0.15393355
0.11354477,-0.1799099,0.12522434
0.07791582,-0.1348224,0.08586407
0.04051983,-0.0793204,0.04099859
0.0024912865,-0.020523774,-0.0040956284
-0.03471861,0.0344027,-0.044449963
