r,f,g,f_s
0.0,1.0,1.0,0.0
0.05000416701391783,0.9975585,0.994941,0.00026250974
0.10000833402783565,0.99024916,0.9797389,0.0010459877
0.15001250104175348,0.97818476,0.95473003,0.00233838
0.2000166680556713,0.9615491,0.92046356,0.004119931
0.25002083506958916,0.9405941,0.87768465,0.006363673
0.30002500208350696,0.9156327,0.8273104,0.009036087
0.35002916909742476,0.8870313,0.77040124,0.01209791
0.4000333361113426,0.85520124,0.70812875,0.015505074
0.4500375031252605,0.8205893,0.64173955,0.019209715
0.5000416701391783,0.78366697,0.5725196,0.023161273
0.5500458371530961,0.74492043,0.5017573,0.027307596
0.6000500041670139,0.7048403,0.43070897,0.031596035
0.6500541711809318,0.6639116,0.36056605,0.035974517
0.7000583381948495,0.62260425,0.29242668,0.040392537
0.7500625052087674,0.58136487,0.2272715,0.044802055
0.8000666722226852,0.54060954,0.16594453,0.049158312
0.8500708392366031,0.5007174,0.10913966,0.053420447
0.900075006250521,0.46202603,0.057392474,0.057552043
0.9500791732644387,0.42482814,0.011078019,0.061521523
1.0000833402783567,0.38936943,-0.02958655,0.06530234
1.0500875072922744,0.35584763,-0.064534515,0.068873115
1.1000916743061921,0.32441327,-0.09383798,0.07221755
1.1500958413201101,0.2951711,-0.11769298,0.075324334
1.2001000083340279,0.26818258,-0.13640203,0.07818686
1.2501041753479456,0.24346927,-0.15035488,0.08080286
1.3001083423618636,0.22101665,-0.16000833,0.083174
1.3501125093757813,0.20077859,-0.16586603,0.08530542
1.400116676389699,0.18268189,-0.16845876,0.08720526
1.450120843403617,0.16663092,-0.16832566,0.08888407
1.5001250104175348,0.1525125,-0.16599762,0.0903544
1.5501291774314527,0.14020018,-0.16198209,0.09163012
1.6001333444453705,0.12955871,-0.15675078,0.09272617
1.6501375114592882,0.12044758,-0.15072963,0.09365795
1.7001416784732062,0.11272476,-0.14429133,0.09444098
1.750145845487124,0.10624947,-0.13775055,0.09509068
1.800150012501042,0.10088469,-0.1313614,0.095621906
1.8501541795149596,0.09649923,-0.12531745,0.09604891
1.9001583465288774,0.09296899,-0.11975345,0.09638508
1.9501625135427954,0.090178244,-0.1147491,0.09664287
2.0001666805567133,0.08802012,-0.11033408,0.09683382
2.050170847570631,0.08639692,-0.10649433,0.09696839
2.100175014584549,0.08521991,-0.10317896,0.09705615
2.1501791815984665,0.08440913,-0.10030796,0.09710573
2.2001833486123843,0.08389275,-0.09777971,0.09712488
2.250187515626302,0.083606414,-0.095478736,0.09712067
2.3001916826402202,0.083492436,-0.093282804,0.097099446
2.350195849654138,0.0834989,-0.09106967,0.097067006
2.4002000166680557,0.0835789,-0.08872298,0.09702862
2.4502041836819735,0.08368969,-0.086137295,0.09698911
2.500208350695891,0.083792016,-0.083222106,0.09695298
2.5502125177098094,0.08384943,-0.07990479,0.09692434
2.600216684723727,0.08382792,-0.07613269,0.09690701
2.650220851737645,0.08369545,-0.071873896,0.096904494
2.7002250187515626,0.08342186,-0.06711734,0.09692001
2.7502291857654804,0.08297884,-0.061871834,0.09695653
2.800233352779398,0.08233989,-0.056164462,0.097016655
2.8502375197933163,0.0814807,-0.050038453,0.09710272
2.900241686807234,0.080379374,-0.04355042,0.09721675
2.950245853821152,0.07901686,-0.036767416,0.09736041
3.0002500208350695,0.07737741,-0.02976391,0.09753509
3.0502541878489873,0.07544899,-0.022618625,0.097741745
3.1002583548629055,0.07322389,-0.015411668,0.09798098
3.150262521876823,0.07069899,-0.008221792,0.09825299
3.200266688890741,0.06787618,-0.0011241055,0.0985575
3.2502708559046587,0.06476273,0.005811846,0.098893724
3.3002750229185764,0.061371315,0.012523506,0.099260345
3.3502791899324946,0.057720147,0.018956289,0.09965553
3.4002833569464124,0.05383287,0.025064025,0.10007681
3.45028752396033,0.049738318,0.030808957,0.100521155
3.500291690974248,0.045470156,0.03616137,0.100984976
3.5502958579881656,0.041066375,0.041098822,0.10146414
3.600300025002084,0.03656871,0.04560511,0.10195407
3.6503041920160015,0.032021847,0.049669027,0.102449834
3.7003083590299193,0.027472688,0.053283073,0.10294619
3.750312526043837,0.022969382,0.056442004,0.10343777
3.8003166930577548,0.01856049,0.059141632,0.10391916
3.8503208600716725,0.014293986,0.061377566,0.10438503
3.9003250270855907,0.010216358,0.063144244,0.10483028
3.9503291940995084,0.0063716695,0.06443424,0.10525008
4.000333361113427,0.0028007135,0.06523783,0.10564006
4.050337528127344,-0.00045976072,0.065542825,0.105996296
4.100341695141262,-0.0033777847,0.06533483,0.10631543
4.15034586215518,-0.0059267925,0.064597756,0.10659472
4.200350029169098,-0.008086041,0.06331464,0.10683207
4.250354196183015,-0.009841106,0.061468747,0.10702606
4.300358363196933,-0.011184079,0.059044886,0.10717597
4.350362530210851,-0.012113732,0.05603088,0.10728172
4.400366697224769,-0.012635544,0.052419066,0.10734398
4.450370864238686,-0.01276164,0.04820796,0.1073641
4.500375031252604,-0.0125105465,0.043403707,0.10734407
4.550379198266523,-0.011906884,0.03802154,0.10728653
4.6003833652804405,-0.01098097,0.032086886,0.10719471
4.650387532294358,-0.009768321,0.025636401,0.10707236
4.700391699308276,-0.008309037,0.01871847,0.10692378
4.750395866322194,-0.0066471174,0.011393484,0.10675362
4.800400033336111,-0.0048297523,0.0037337136,0.10656692
4.850404200350029,-0.0029065157,-0.0041773617,0.10636895
4.900408367363947,-0.00092845835,-0.012246035,0.10616517
4.950412534377865,0.001052672,-0.020369783,0.10596109
5.000416701391782,0.0029854686,-0.028439067,0.1057622
5.0504208684057,0.004819653,-0.036339518,0.105573885
5.100425035419619,0.006507086,-0.043954305,0.105401285
5.1504292024335365,0.008002586,-0.05116676,0.10524921
5.200433369447454,0.009264807,-0.057863165,0.1051221
5.250437536461372,0.010257002,-0.063935496,0.105023846
5.30044170347529,0.010947714,-0.06928415,0.1049578
5.3504458704892075,0.01131141,-0.073820546,0.10492668
5.400450037503125,0.011328883,-0.077469476,0.10493249
5.450454204517043,0.01098771,-0.08017111,0.10497655
5.500458371530961,0.010282366,-0.08188269,0.10505942
