r,f,g,f_s
0.05,1.0,1.0,0.0
0.1,0.9902992,0.9809749,0.00056310627
0.15000000000000002,0.96166515,0.9255516,0.0022197638
0.2,0.915741,0.83847433,0.0048750364
0.25,0.8550897,0.7269867,0.008380783
0.3,0.7829565,0.59994745,0.012549502
0.35000000000000003,0.70297873,0.46679688,0.017171066
0.4,0.61888254,0.33653244,0.022030294
0.45,0.53420013,0.21683528,0.026923245
0.5,0.4520376,0.11345354,0.03167064
0.55,0.37491193,0.029895745,0.036127236
0.6000000000000001,0.3046646,-0.032566767,0.040186726
0.6500000000000001,0.24244967,-0.07463724,0.04378242
0.7000000000000001,0.18878347,-0.09854964,0.046884377
0.7500000000000001,0.14363916,-0.10753602,0.04949396
0.8,0.10656661,-0.105291136,0.05163703
0.8500000000000001,0.07681959,-0.09550348,0.053356588
0.9000000000000001,0.053475894,-0.081495084,0.054705944
0.9500000000000001,0.035540264,-0.06598811,0.055742685
1.0,0.02202535,-0.05099371,0.056523997
1.05,0.012009648,-0.03780378,0.057103265
1.1,0.004674675,-0.027058978,0.05752784
1.1500000000000001,-0.000674895,-0.018864812,0.057837952
1.2000000000000002,-0.0046037193,-0.012930803,0.058066186
1.2500000000000002,-0.007547046,-0.008713146,0.058237635
1.3,-0.009817715,-0.0055469605,0.058370296
1.35,-0.011616936,-0.002759225,0.0584757
1.4000000000000001,-0.0130478665,0.00024238089,0.05855971
1.4500000000000002,-0.014131518,0.0039069224,0.05862342
1.5000000000000002,-0.014824952,0.008503907,0.058664244
1.55,-0.015041284,0.014111724,0.05867703
1.6,-0.014671047,0.020627754,0.058655333
1.6500000000000001,-0.013603721,0.027795969,0.058592673
1.7000000000000002,-0.011748011,0.035246603,0.058483694
1.7500000000000002,-0.009049262,0.04254221,0.058325276
1.8,-0.0055023953,0.049224228,0.058117215
1.85,-0.0011592074,0.054855354,0.057862747
1.9000000000000001,0.0038705862,0.05905424,0.057568513
1.9500000000000002,0.009424409,0.061520856,0.05724425
2.0,0.015297286,0.062052816,0.056902096
2.05,0.021256035,0.060553964,0.056555666
2.1,0.027055575,0.057037476,0.056219064
2.15,0.032455314,0.05162526,0.055905964
2.1999999999999997,0.037233945,0.044544708,0.055628844
2.25,0.041201383,0.036122512,0.055398397
2.3,0.04420708,0.026773954,0.055223186
2.35,0.046144698,0.016986003,0.05510938
2.4,0.046953518,0.0072920364,0.05506074
2.45,0.04661735,-0.0017620953,0.05507854
2.5,0.045161862,-0.00965925,0.05516163
2.55,0.042651143,-0.015955888,0.055306576
2.6,0.039184008,-0.020325087,0.055507787
2.65,0.034890402,-0.022591406,0.05575764
2.7,0.029927671,-0.022751272,0.05604683
2.75,0.024476439,-0.020974765,0.056364525
2.8,0.018735657,-0.017586999,0.056698874
2.85,0.012916353,-0.013030856,0.057037327
2.9,0.00723398,-0.007815954,0.05736726
2.95,0.001899444,-0.0024609142,0.05767646
3.0,-0.0028907969,0.0025628256,0.05795369
3.05,-0.0069648074,0.0068779686,0.05818923
3.1,-0.010184613,0.010233255,0.058375377
3.15,-0.012454009,0.012517104,0.058506798
3.2,-0.013724016,0.013752904,0.058580857
3.25,-0.013995343,0.014078557,0.05859768
3.3,-0.013317583,0.013714884,0.05856018
3.35,-0.0117852725,0.012928443,0.05847378
3.4,-0.009531064,0.011994165,0.05834606
3.45,-0.006716781,0.011162519,0.058186248
3.5,-0.0035230233,0.010634161,0.058004633
